 values from .184 to 0.350 microns from the CfA database http://cfa-www.harvard.edu/amdata/ampdata/newcfamols.shtml  Updated 1/9/2000
 Absorption Cross-Sections for:  O3 

  47.9982	Molecular Weight of Principal Isotope   

     Wavelength    Cross-Section
     (microns)       (cm**2) 

    2.08845E-01    4.96620E-19
    2.08979E-01    5.09050E-19
    2.09114E-01    5.06760E-19
    2.09248E-01    5.15520E-19
    2.09382E-01    5.24720E-19
    2.09517E-01    5.33960E-19
    2.09651E-01    5.26750E-19
    2.09786E-01    5.46190E-19
    2.09920E-01    5.53920E-19
    2.10054E-01    5.59370E-19
    2.10189E-01    5.71400E-19
    2.10323E-01    5.79110E-19
    2.10458E-01    5.89640E-19
    2.10592E-01    6.01470E-19
    2.10726E-01    6.15330E-19
    2.10861E-01    6.18850E-19
    2.10995E-01    6.30960E-19
    2.11130E-01    6.35650E-19
    2.11264E-01    6.51410E-19
    2.11399E-01    6.56910E-19
    2.11533E-01    6.65660E-19
    2.11667E-01    6.70760E-19
    2.11802E-01    6.85540E-19
    2.11936E-01    6.97340E-19
    2.12071E-01    7.03960E-19
    2.12205E-01    7.14590E-19
    2.12339E-01    7.33270E-19
    2.12474E-01    7.35720E-19
    2.12608E-01    7.52210E-19
    2.12743E-01    7.64780E-19
    2.12877E-01    7.74730E-19
    2.13011E-01    7.85830E-19
    2.13146E-01    8.07110E-19
    2.13280E-01    8.10940E-19
    2.13415E-01    8.26750E-19
    2.13549E-01    8.39430E-19
    2.13684E-01    8.42150E-19
    2.13818E-01    8.62970E-19
    2.13952E-01    8.74800E-19
    2.14087E-01    8.79070E-19
    2.14221E-01    9.06040E-19
    2.14356E-01    9.28800E-19
    2.14490E-01    9.33610E-19
    2.14624E-01    9.59780E-19
    2.14759E-01    9.68220E-19
    2.14893E-01    9.78220E-19
    2.15028E-01    9.89220E-19
    2.15162E-01    1.01260E-18
    2.15296E-01    1.03110E-18
    2.15431E-01    1.05250E-18
    2.15565E-01    1.07030E-18
    2.15700E-01    1.07120E-18
    2.15834E-01    1.09840E-18
    2.15969E-01    1.10470E-18
    2.16103E-01    1.11810E-18
    2.16237E-01    1.14740E-18
    2.16372E-01    1.14960E-18
    2.16506E-01    1.17330E-18
    2.16641E-01    1.19260E-18
    2.16775E-01    1.20100E-18
    2.16909E-01    1.22290E-18
    2.17044E-01    1.25200E-18
    2.17178E-01    1.26520E-18
    2.17313E-01    1.28510E-18
    2.17447E-01    1.31860E-18
    2.17581E-01    1.32240E-18
    2.17716E-01    1.33770E-18
    2.17850E-01    1.37040E-18
    2.17985E-01    1.39700E-18
    2.18119E-01    1.40800E-18
    2.18254E-01    1.41880E-18
    2.18388E-01    1.44540E-18
    2.18522E-01    1.46350E-18
    2.18657E-01    1.47970E-18
    2.18791E-01    1.50520E-18
